"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORT_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFENSE_TYPE_ID","OFENSE_CATEGORY_ID","MJ_RELATION_TYPE","SIZE_QTY_LBS","SIZE_QTY_GRAMS","RECORD_CREATED_DATETIME","RECORD_UPDATED_DATETIME"
"2018602288","9/3/2018","1/1/1900","9/3/2018","4935 N YORK ST                                    ","3151887.00","1711462.00","2","212","2999    ","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","","","",""
"2018604255","9/4/2018","1/1/1900","9/4/2018","1126 S SHERIDAN BLVD                              ","3125821.00","1678730.00","4","421","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018604605","8/31/2018","9/4/2018","9/4/2018","4785 N ELATI ST                                   ","3142364.00","1710518.00","1","112","2404    ","THEFT - OF MOTOR VEHICLE","Auto Theft","INDUSTRY","","","",""
"2018605627","9/4/2018","9/4/2018","9/4/2018","2645 S SANTA FE DR                                ","3141742.00","1668660.00","3","313","2205    ","BURGLARY - BUSINESS NO FORCE","Burglary","INDUSTRY","","","",""
"2018627159","9/12/2018","9/12/2018","9/12/2018","4080 N GLOBEVILLE RD                              ","3143631.00","1706694.00","1","112","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018627803","9/13/2018","9/13/2018","9/13/2018","74 N FEDERAL BLVD                                 ","3133707.00","1686718.00","4","411","2999    ","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","","","",""
"2018630030","9/14/2018","1/1/1900","9/14/2018","3930 BLAKE ST                                     ","3148656.00","1706544.00","2","211","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018635099","9/15/2018","1/1/1900","9/16/2018","1601 CHESTNUT PL                                  ","3139627.00","1699486.00","6","612","1205    ","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","","","",""
"2018640229","9/18/2018","9/18/2018","9/18/2018","2020 S COLORADO BLVD                              ","3157519.00","1672944.00","3","314","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018640250","9/18/2018","9/18/2018","9/18/2018","2390 S BROADWAY ST                                ","3144264.00","1670566.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018640260","9/18/2018","9/18/2018","9/18/2018","183 W ALAMEDA AVE                                 ","3142935.00","1684445.00","3","311","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018641785","9/18/2018","9/18/2018","9/18/2018","3100 BLAKE ST                                     ","3145964.00","1703803.00","2","211","2305    ","THEFT - ITEMS FROM VEHICLE","Theft from Motor Vehicle","INDUSTRY","","","",""
"2018649572","9/16/2018","1/1/1900","9/21/2018","11975 E 40TH AVE                                  ","3182912.00","1707217.00","5","512","2303    ","THEFT - SHOPLIFT","Larceny","INDUSTRY","","","",""
"2018661094","9/26/2018","9/26/2018","9/26/2018","399 S HARRISON ST                                 ","3157075.00","1683778.00","3","311","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018663269","9/27/2018","9/27/2018","9/27/2018","399 S HARRISON ST                                 ","3157075.00","1683778.00","3","311","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018663283","9/27/2018","9/27/2018","9/27/2018","2001 S BROADWAY ST                                ","3144120.00","1673026.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018663301","9/27/2018","9/27/2018","9/27/2018","2070 S HURON ST                                   ","3141568.00","1672612.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018663315","9/27/2018","9/27/2018","9/27/2018","4820 MORRISON RD                                  ","3126979.00","1679901.00","4","412","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018666172","9/27/2018","9/28/2018","9/28/2018","5077 N COLORADO BLVD                              ","3156774.00","1712483.00","2","212","2305    ","THEFT - ITEMS FROM VEHICLE","Theft from Motor Vehicle","NON-INDUSTRY","","","",""
"2018679602","10/3/2018","10/3/2018","10/3/2018","3203 N QUEBEC ST                                  ","3167444.00","1703321.00","2","221","1205    ","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","","","",""
"2018680942","9/23/2018","9/29/2018","10/4/2018","879 N FEDERAL BLVD                                ","3133482.00","1691405.00","1","122","2399    ","THEFT - OTHER","Larceny","INDUSTRY","","","",""
"2018689549","10/8/2018","10/8/2018","10/8/2018","2568 S BROADWAY ST                                ","3144350.00","1669345.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2018690586","10/7/2018","10/8/2018","10/8/2018","4228 N YORK ST                                    ","3152105.00","1707908.00","2","212","2999    ","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","","","",""
"2018692118","10/9/2018","1/1/1900","10/9/2018","8101 E NORTHFIELD BLVD                            ","3170283.00","1711719.00","5","511","3562    ","DRUG - MARIJUANA POSSESS","Drug Offenses","NON-INDUSTRY","","","",""
